QuestionNumber,Category,MRCPPart,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,WhyA,WhyB,WhyC,WhyD
1,Cardiology,1,"A 62-year-old man presents with chest pain radiating to the left arm. ECG shows ST elevation in leads II, III, and aVF. Which coronary artery is most likely occluded?",Left anterior descending,Right coronary artery,Left circumflex artery,Left main stem,B,"ST elevation confined to the inferior leads (II, III and aVF) localises the infarct to the inferior wall of the left ventricle. In ~85% of people this territory is supplied by the right coronary artery (right-dominant circulation), making RCA occlusion the most likely culprit. Inferior STEMIs may be complicated by bradyarrhythmias and AV block (the RCA supplies the SA and AV nodes) and by right ventricular infarction, so a right-sided ECG (V4R) and caution with nitrates are important.","The LAD supplies the anterior wall and septum, producing ST elevation in the anterior/septal leads (V1–V4), not the inferior leads.",,"The left circumflex supplies the lateral/posterior wall, giving changes in leads I, aVL, V5–V6; it causes inferior infarction only in the minority who are left-dominant.","Left main stem occlusion causes widespread anterior and lateral ST elevation (often with aVR elevation) and profound shock, not an isolated inferior pattern."
2,Cardiology,1,"A 55-year-old woman with hypertension develops a loud systolic murmur best heard at the apex, radiating to the axilla. Which valve is most likely affected?",Aortic valve,Mitral valve,Tricuspid valve,Pulmonary valve,B,"A pansystolic (holosystolic) murmur loudest at the apex and radiating to the axilla is the classic signature of mitral regurgitation. The mitral valve is auscultated at the apex (5th intercostal space, mid-clavicular line) and the regurgitant jet projects toward the axilla. MR is common in hypertensive/ischaemic heart disease from annular dilatation or papillary muscle dysfunction.","Aortic valve murmurs (stenosis) are ejection-systolic, loudest at the right sternal edge/aortic area and radiate to the carotids, not the axilla.",,"Tricuspid regurgitation is also pansystolic but loudest at the lower left sternal edge and characteristically louder on inspiration (Carvallo sign), with a pulsatile liver and giant V waves.","Pulmonary valve stenosis is an ejection-systolic murmur in the pulmonary area (left 2nd space) radiating toward the left shoulder, not the apex/axilla."
3,Cardiology,1,A patient with Wolff-Parkinson-White syndrome develops atrial fibrillation. Which drug is CONTRAINDICATED?,Flecainide,Amiodarone,Verapamil,Procainamide,C,"In WPW with atrial fibrillation, impulses can conduct rapidly down the accessory pathway, which (unlike the AV node) has no decremental properties. AV-nodal blocking drugs — verapamil, diltiazem, digoxin, adenosine, beta-blockers — remove the competing nodal route and can accelerate conduction over the accessory pathway, precipitating ventricular fibrillation. The safe choice is a drug that slows accessory-pathway conduction (flecainide, procainamide) or DC cardioversion if unstable.",Flecainide is appropriate — it prolongs accessory-pathway refractoriness and is a recommended agent for pre-excited AF.,"Amiodarone acts on the accessory pathway as well as the node; although caution is advised, it is not the classically contraindicated drug in this scenario.",,Procainamide is a recommended agent that slows conduction through the accessory pathway.
4,Cardiology,1,A 70-year-old man with aortic stenosis has a murmur that decreases with Valsalva manoeuvre. Which other murmur characteristically increases with Valsalva?,Mitral regurgitation,Aortic regurgitation,Hypertrophic obstructive cardiomyopathy,Ventricular septal defect,C,"The murmur of hypertrophic obstructive cardiomyopathy gets LOUDER with the Valsalva strain phase. Valsalva reduces venous return and LV cavity size, which worsens dynamic left-ventricular outflow-tract obstruction and intensifies the murmur. The same manoeuvre softens most other murmurs because they depend on preload/stroke volume. This dynamic behaviour (louder on standing/Valsalva, softer on squatting) is a key bedside discriminator.",Mitral regurgitation softens with Valsalva as reduced preload lowers the regurgitant volume.,Aortic regurgitation softens with Valsalva because of reduced stroke volume and forward flow.,,A VSD murmur softens with Valsalva as the reduced left–right pressure gradient decreases shunt flow.
5,Cardiology,1,Which ECG finding is most characteristic of hyperkalaemia?,Prolonged QT interval,U waves,Peaked T waves,ST depression,C,"Tall, peaked ('tented') T waves are the earliest and most characteristic ECG change of hyperkalaemia. As potassium rises further the sequence progresses: P-wave flattening and PR prolongation, then QRS widening, loss of P waves, and ultimately a sinusoidal (sine-wave) pattern preceding asystole/VF. Recognising peaked T waves should trigger urgent treatment and cardiac monitoring.","A prolonged QT is typical of HYPOcalcaemia, hypokalaemia, hypomagnesaemia and certain drugs — not hyperkalaemia.",U waves are the hallmark of HYPOkalaemia.,,"ST depression is non-specific (ischaemia, digoxin, LVH) and is not the characteristic hyperkalaemic change."
6,Cardiology,2,A 48-year-old man presents with syncope. Echo shows asymmetric septal hypertrophy of 28mm. His father died suddenly aged 42. What is the most appropriate next management step?,Beta-blocker therapy,Referral for ICD implantation,Surgical myectomy,Annual Holter monitoring,B,"This patient has hypertrophic cardiomyopathy with two independent major risk factors for sudden cardiac death — unexplained syncope and a family history of premature SCD — together with severe left-ventricular hypertrophy (28 mm; maximum wall thickness ≥30 mm is itself a recognised high-risk marker). Under the ESC HCM risk model this combination warrants a prophylactic implantable cardioverter-defibrillator, which is the only intervention shown to prevent arrhythmic death.","Beta-blockers relieve outflow-tract symptoms but do not protect against sudden arrhythmic death, so they are insufficient as the primary strategy in a high-risk patient.",,"Surgical myectomy is for drug-refractory outflow-tract obstruction and symptoms, not for sudden-death prevention.",Annual Holter monitoring is part of risk stratification but is not a treatment and does nothing to prevent an arrhythmic event in someone already high-risk.
7,Cardiology,1,Which of the following is the most common cause of infective endocarditis in native valves?,Staphylococcus aureus,Streptococcus viridans,Enterococcus faecalis,Staphylococcus epidermidis,A,"Staphylococcus aureus is now the leading overall cause of infective endocarditis in the developed world, reflecting more healthcare contact, intravascular devices and injecting drug use. It typically causes an acute, aggressive picture with rapid valve destruction. Knowing the likely organism guides empirical therapy and the urgency of echocardiography and surgical assessment.",,Viridans streptococci classically cause SUBacute endocarditis on abnormal native valves (often post-dental) but are no longer the commonest overall cause.,"Enterococcus faecalis is an important cause, especially after genitourinary/GI procedures and in older men, but is less common than S. aureus.","Staphylococcus epidermidis (coagulase-negative) is the typical cause of PROSTHETIC-valve endocarditis via biofilm, not native-valve disease."
8,Cardiology,2,"A 65-year-old woman with heart failure (EF 30%) is on ramipril, bisoprolol, and furosemide. Her potassium is 4.2 mmol/L and eGFR 45 mL/min. Which additional medication has mortality benefit?",Amlodipine,Spironolactone,Digoxin,Ivabradine,B,"In heart failure with reduced ejection fraction that remains symptomatic on an ACE inhibitor (or ARB) and a beta-blocker, adding a mineralocorticoid receptor antagonist such as spironolactone reduces mortality and hospitalisation (RALES/EMPHASIS-HF). With potassium 4.2 mmol/L and eGFR 45 mL/min it can be started safely, with U&E rechecked within 1–2 weeks. (SGLT2 inhibitors are now a further prognostic pillar.)",Amlodipine is prognostically neutral in HFrEF — useful for angina/BP but it does not improve survival.,,Digoxin reduces hospitalisation but has no mortality benefit and is reserved for symptom/rate control.,Ivabradine helps only when the patient is in sinus rhythm with heart rate ≥75 despite maximal beta-blockade; it is not the first add-on and carries no survival benefit in this scenario.
9,Cardiology,1,A patient presents with a wide complex tachycardia at 160 bpm. Which feature most strongly suggests ventricular tachycardia rather than SVT with aberrancy?,Rate >150 bpm,AV dissociation,QRS duration 130ms,Regular rhythm,B,"AV dissociation — P waves marching through at their own rate, independent of the QRS — indicates the atria and ventricles are beating separately and is virtually diagnostic of ventricular tachycardia. Other strong VT features include capture and fusion beats, a very broad QRS (>140 ms), concordance across the chest leads, and extreme axis deviation. When in doubt, a broad-complex tachycardia should be treated as VT.",A rate >150 bpm occurs in both VT and SVT with aberrancy and does not discriminate between them.,,A QRS of 130 ms is only modestly broad and can occur with SVT plus bundle-branch block; it is not specific for VT.,Regularity is unhelpful — both VT and re-entrant SVT with aberrancy are typically regular.
10,Cardiology,2,A 72-year-old man with permanent atrial fibrillation has a CHA2DS2-VASc score of 4. He has a history of recurrent GI bleeding. What is the most appropriate anticoagulation strategy?,Aspirin alone,DOAC with PPI cover,Warfarin with INR target 2-3,Left atrial appendage occlusion device,D,"This man has a high stroke risk (CHA₂DS₂-VASc 4) but recurrent gastrointestinal bleeding that makes long-term oral anticoagulation hazardous. Left-atrial-appendage occlusion (e.g. a Watchman device) mechanically excludes the main site of thrombus formation in AF and delivers stroke protection without the need for indefinite anticoagulation, making it the most appropriate option here.","Aspirin alone gives little stroke protection in AF yet still carries GI-bleeding risk, so it is a poor trade-off.",A DOAC with a PPI reduces but does not eliminate GI bleeding; recurrent significant bleeding usually makes ongoing anticoagulation unsuitable.,"Warfarin has an even higher intracranial- and GI-bleeding burden and INR variability, so it does not solve the bleeding problem.",
